TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft
38343,"5003 Clover Run Dr Lot 46, Humboldt, TN 38343","Humboldt, TN 38343",Pending,191000,4,2,1451
38343,"Highway 152 and Porters Grove Church Rd, Humboldt, TN 38343","Humboldt, TN 38343",Pending,200000,,,
38343,"157 N 28th Ave, Humboldt, TN 38343","Humboldt, TN 38343",Pending,84900,2,1,
67505,"306 E Avenue F, South Hutchinson, KS 67505","South Hutchinson, KS 67505",For Sale,185000,4,2,2707
67505,"8 Savannah Dr, South Hutchinson, KS 67505","South Hutchinson, KS 67505",For Sale,269000,5,2,2600
67505,"44 Detroit Dr, South Hutchinson, KS 67505","South Hutchinson, KS 67505",Pending,275000,4,3,2484
67505,"W K50 Hwy, South Hutchinson, KS 67505","South Hutchinson, KS 67505",For Sale,510000,,,
67505,"Blue Stem Dr, South Hutchinson, KS 67505","South Hutchinson, KS 67505",For Sale,6500,,,
67505,"525 N Poplar St, South Hutchinson, KS 67505","South Hutchinson, KS 67505",For Sale,97500,,,
67505,"Bluestem Dr, South Hutchinson, KS 67505","South Hutchinson, KS 67505",For Sale,5000,,,
67505,"Prosperity Dr, South Hutchinson, KS 67505","South Hutchinson, KS 67505",For Sale,769440,,,
67505,"Prosperity Dr, South Hutchinson, KS 67505","South Hutchinson, KS 67505",For Sale,61440,,,
67505,"Prosperity Dr, South Hutchinson, KS 67505","South Hutchinson, KS 67505",For Sale,300960,,,
67505,"Prosperity Dr, South Hutchinson, KS 67505","South Hutchinson, KS 67505",For Sale,101280,,,
67505,"Heartland Dr, South Hutchinson, KS 67505","South Hutchinson, KS 67505",For Sale,305250,,,
67505,"Cypress Ln, South Hutchinson, KS 67505","South Hutchinson, KS 67505",For Sale,5000,,,
67505,"Prosperity Dr, South Hutchinson, KS 67505","South Hutchinson, KS 67505",For Sale,62880,,,
67505,"Prosperity Dr, South Hutchinson, KS 67505","South Hutchinson, KS 67505",For Sale,75360,,,
67501,"20 S Carlo St, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,179900,3,1.5,1840
67501,"1023 College Ln, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,58000,2,1,1161
67501,"1307 N Poplar St, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,109900,2,1,1174
67501,"316 E Sherman Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",Pending,99900,3,2,1879
67501,"410 E Sherman Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,99900,5,3,2618
67501,"16 E 12th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,60000,5,2.5,3104
67501,"190 N Green Acres Dr, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,82500,3,2,1248
67501,"21 W 14th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",Pending,129900,2,1,2132
67501,"608 W 11th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,37900,1,1,660
67501,"7170 Zolman Rd, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,150000,3,2,1848
67501,"113 W 16th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,135000,2,1,1120
