Address1,Address2,Availability,Price,Beds,Baths,Sqft
"6281 Parker Blvd, North Richland Hills, TX 76180","North Richland Hills, TX 76180",Pending,432965,2,2.5,2031
"706 W Union St, Vienna, GA 31092","Vienna, GA 31092",For Sale,82500,2,1,960
"4583 County Road 1520, Center, TX 75935","Center, TX 75935",Pending,79000,,,
"1702 E 16th St, Sedalia, MO 65301","Sedalia, MO 65301",For Sale,170000,4,1.5,1720
"1108 El Sol Blvd, Sherman, TX 75090","Sherman, TX 75090",Pending,346583,3,2,1717
"Loggersmill Dr Lot 38, Rome, GA 30161","Rome, GA 30161",For Sale,24900,,,
"1086 Barbara Ann Dr, Jackson, MS 39204","Jackson, MS 39204",Pending,20000,3,1,1320
"626 6th Ave, Council Bluffs, IA 51501","Council Bluffs, IA 51501",Pending,150000,4,2,1770
"1101 Rainbow Dr, Albany, KY 42602","Albany, KY 42602",Pending,60000,3,2.5,2464
"Highway 135 N, Corydon, IN 47112","Corydon, IN 47112",For Sale,306000,,,
"Wellington Ave, Monett, MO 65708","Monett, MO 65708",For Sale,139900,,,
"109 Arthur Ln, Russellville, AR 72802","Russellville, AR 72802",For Sale,279000,3,2.5,3037
"217 S Main St, Cambridge, IL 61238","Cambridge, IL 61238",For Sale,49900,4,1,1660
"2977 Grove Way, Seguin, TX 78155","Seguin, TX 78155",For Sale,539000,4,3.5,3016
"3007 Adamson Rd, White Hall, AR 71602","White Hall, AR 71602",For Sale,27500,2,1.5,1092
"139 Enoch Trl, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,180225,,,
"827 Mary Key Dr, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,649000,5,3.5,4700
"8916 Luciano Rdg, Seguin, TX 78155","Seguin, TX 78155",For Sale,366999,5,3,3035
"7060 Rivermere Ln, Glen Allen, VA 23059","Glen Allen, VA 23059",For Sale,451700,3,2.5,1968
"Gately Hl, Dardanelle, AR 72834","Dardanelle, AR 72834",For Sale,39900,,,
"2321 E Eucalyptus Ave, Enid, OK 73701","Enid, OK 73701",For Sale,36500,3,1,1500
"2252 W Million Ln, Fayetteville, AR 72704","Fayetteville, AR 72704",For Sale,339000,3,2.5,2019
"601 E Chestnut St, Corydon, IN 47112","Corydon, IN 47112",For Sale,325000,5,5,3768
"4618 N Shore Dr, Council Bluffs, IA 51501","Council Bluffs, IA 51501",For Sale,699000,4,4,4008
"47 Canoe Birch Trl, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,798000,2,2,1900
"308 Narrows Rd, Shelbyville, TN 37160","Shelbyville, TN 37160",Contingent,230000,3,2,1280
"5945 Meadow Brook Ln, Cumming, GA 30040","Cumming, GA 30040",Pending,634900,4,3.5,3335
"1217 Beach Blvd, Sherman, TX 75090","Sherman, TX 75090",For Sale,525000,4,4,3049
"8514 Range Rd, Rogers, AR 72756","Rogers, AR 72756",Pending,275000,3,3,1966
"264 Southern Sunrise, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,172100,,,
,,Pending,160000,3,1,1120
"Bailey Tract 5 Rd Lot 5, Rome, GA 30161","Rome, GA 30161",For Sale,132900,,,
"19308 Pinecrest Trl, Rogers, AR 72756","Rogers, AR 72756",For Sale,1599000,5,3.5,4596
"206 S 7th St, Rogers, AR 72756","Rogers, AR 72756",Pending,239900,3,2,1254
"726 Main St, Corydon, KY 42406","Corydon, KY 42406",Pending,235000,4,3,3349
"2805 Westlake Dr, Sedalia, MO 65301","Sedalia, MO 65301",For Sale,65000,3,1,1104
"102 Samson Place Trl, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,153630,,,
"282 Xpress Ln, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,975000,4,4.5,2200
"4056 Wild Bloom Rd, Seguin, TX 78155","Seguin, TX 78155",Pending,324715,3,2,1846
"1223 S Springfield Dr, Fayetteville, AR 72704","Fayetteville, AR 72704",Pending,295000,3,2,1456
"2901 S 51st St, Kansas City, KS 66106","Kansas City, KS 66106",Pending,143000,2,1,690
"Tract 8 Poplar St, Clarksville, AR 72830","Clarksville, AR 72830",For Sale,150000,,,
"252 Wheel Rd, Shelbyville, TN 37160","Shelbyville, TN 37160",For Sale,599000,4,3,2900
"103 Eagle Cir, Amherst, OH 44001","Amherst, OH 44001",For Sale,279990,3,2,1365
"618 S Hazelwood St, Sherman, TX 75090","Sherman, TX 75090",For Sale,355000,6,3,2106
"3370 Aldrich Dr, Cumming, GA 30040","Cumming, GA 30040",Pending,899999,6,5,6432
"1080 Detour Rd, Bowling Green, KY 42101","Bowling Green, KY 42101",Pending,180000,3,1,1134
"3104 Timberland Trl, Euless, TX 76040","Euless, TX 76040",For Sale,260000,4,2,
"733 FM 902, Tom Bean, TX 75090","Tom Bean, TX 75090",For Sale,1435500,,,
"806 W Oak St, Dexter, MO 63841","Dexter, MO 63841",For Sale,115000,3,1,1101
"50 Compton Cutoff, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,192500,,,
"3401 Marina Rd, Russellville, AR 72802","Russellville, AR 72802",For Sale,299900,3,1.5,1212
"324 S Commercial St, Emporia, KS 66801","Emporia, KS 66801",For Sale,67500,4,1.5,1647
"2744 Nueva Cordova, Seguin, TX 78155","Seguin, TX 78155",For Sale,395249,4,3,2304
"3964 Hoke St Unit 36, Claremont, NC 28610","Claremont, NC 28610",For Sale,20000,,,
"172 County Road 4556, Carthage, TX 75633","Carthage, TX 75633",For Sale,275000,5,1.5,1932
"N Ridge Rd, Amherst, OH 44001","Amherst, OH 44001",For Sale,59900,,,
"Plan Dorchester, Bel Air Village: 50ft. lots CommunitySherman, TX","Sherman, TX",For Sale,From412990,4,2,2240
"220105 E Finley Rd, Kennewick, WA 99337","Kennewick, WA 99337",For Sale,535000,2,2,1639
"Teagarden Ct, Sanford, NC 27332","Sanford, NC 27332",Pending,294740,3,2,1725
"Highway 127 Lot 14, Albany, KY 42602","Albany, KY 42602",For Sale,19000,,,
"1007 E 9th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",Pending,88000,2,1,884
"259 Profite Williams Rd, Eufaula, AL 36027","Eufaula, AL 36027",Pending,79500,3,1,1100
"500 Turtle Ln, Seguin, TX 78155","Seguin, TX 78155",For Sale,699900,3,3,1880
"3109 Brooking Park Ave, Sedalia, MO 65301","Sedalia, MO 65301",For Sale,128850,3,2,1330
