TysonZip,Address1,Address2,Style,Price,Beds,Baths,Sqft
60641,4252 W Nelson St Unit 4252-2,"Chicago, IL 60641",Apartment,1480,2,1,
60641,5201 W Cullom Ave Apt 3,"Chicago, IL 60641",Apartment,2292,3,2,
60641,4244 W Nelson St Unit 4244-2,"Chicago, IL 60641",Apartment,1480,2,1,
60641,3058 N Kostner Ave Apt 1W,"Chicago, IL 60641",Apartment,1470,2,1,900
60641,3035 N Karlov Ave Unit 1,"Chicago, IL 60641",Apartment,1600,2,1,1200
60641,3318 N Leclaire Ave Unit 1S,"Chicago, IL 60641",Apartment,1625,2,1,
60641,2807 N Kilbourn Ave Apt 2N,"Chicago, IL 60641",Apartment,1200,2,1,
60641,4254 W Nelson St Unit 4254-1,"Chicago, IL 60641",Apartment,1615,2,1,
60641,2807 N Kilbourn Ave Apt 2N,"Chicago, IL 60641",Apartment,1200,2,1,
60641,4254 W Nelson St Unit 4254-1,"Chicago, IL 60641",Apartment,1615,2,1,
60641,4254 W Nelson St Unit 4254-2,"Chicago, IL 60641",Apartment,1500,2,1,
60641,4031 W School St Unit B2,"Chicago, IL 60641",Apartment,1275,1,1,900
60641,4901 W Cullom Ave Unit 4901-3,"Chicago, IL 60641",Apartment,1400,1,1,
60641,3941 N Keeler Ave Unit 3941-306,"Chicago, IL 60641",Apartment,1855,1,1,
60641,3250 N Pulaski Rd Apt 314,"Chicago, IL 60641",Apartment,1050,Studio,1,300
60641,5425 W Montrose Ave Unit 5425S3,"Chicago, IL 60641",Apartment,1250,1,1,
60641,5427 W Montrose Ave Unit 5427GD,"Chicago, IL 60641",Apartment,1150,1,1,
60641,4112 N Kedvale Ave Apt Ge,"Chicago, IL 60641",Apartment,1275,1,1,700
60641,4250 N Lamon Ave Unit 4250-2,"Chicago, IL 60641",Apartment,1300,1,1,
60641,5423 W Montrose Ave Unit 5423NB,"Chicago, IL 60641",Apartment,1400,2,2,
60641,4354 N Elston Ave Unit 4354-201,"Chicago, IL 60641",Apartment,1000,Studio,1,500
60641,3250 N Pulaski Rd Apt 203,"Chicago, IL 60641",Apartment,1050,Studio,1,300
60641,3250 N Pulaski Rd Apt 210,"Chicago, IL 60641",Apartment,1050,Studio,1,300
60641,4828 W Addison St Unit E4,"Chicago, IL 60641",Apartment,1150,Studio,1,500
60641,4828 W Addison St,"Chicago, IL 60641",Apartment,1150,Studio,1,520
60641,3250 N Pulaski Rd Apt 301,"Chicago, IL 60641",Apartment,1050,Studio,1,300
60641,4300 W Montrose Ave Unit 200,"Chicago, IL 60641",Condo,5000,5,2,3000
60641,3320 N Leclaire Ave,"Chicago, IL 60641",Apartment,1995,3,1,950
60641,4831 W Addison St Apt 3,"Chicago, IL 60641",House,1500,2,1,
60641,5111 W Montrose Ave,"Chicago, IL 60641",Apartment,1450,2,1,650
60641,4851 W Nelson St Unit 2,"Chicago, IL 60641",Apartment,1475,2,1,1200
60641,5257 W Nelson Ave,"Chicago, IL 60641",Apartment,1350,2,1,
60641,4017 W Melrose St,"Chicago, IL 60641",Apartment,950,Studio+,1,550
60641,5355 W Eddy St Unit 3,"Chicago, IL 60641",Condo,1300,2,1,1100
60641,2906 N Kolmar Ave Apt 3,"Chicago, IL 60641",Apartment,1395,1,1,
60641,3955 N Lamon Ave,"Chicago, IL 60641",Apartment,925,Studio,1,435
60641,3955 N Lamon Ave,"Chicago, IL 60641",Apartment,1295,1,1,700
60641,4014-22 W Melrose,"Chicago, IL 60641",Apartment,1250,2,1,
60641,3054 N Kolmar Ave,"Chicago, IL 60641",Apartment,1250,1,1,825
60641,4300 N Pulaski Rd Unit 1G,"Chicago, IL 60641",Apartment,1150,1,1,750
60641,4839 W Addison St Apt 3S,"Chicago, IL 60641",Apartment,1250,1,1,
60641,3035 N Kilpatrick Ave Unit 2,"Chicago, IL 60641",House,1950,2,1,
60641,3250 N Pulaski Rd Apt 202,"Chicago, IL 60641",Apartment,1050,Studio,1,
