Address1,Address2,Style,Price,Beds,Baths,Sqft
3810 S Thompson Ave Unit 35,"Springdale, AR 72764",House,1000,2,1,
2856 N Kostner Ave Unit 2,"Chicago, IL 60641",Apartment,1500,2,1,800
864 Fairview Ave,"Bowling Green, KY 42101",Apartment,1035,1,1,750
4731 W Cornelia Ave Unit 3E,"Chicago, IL 60641",Apartment,1475,2,1,617
400 S 8th St Unit 400D,"Rogers, AR 72756",Condo,1539,Studio,,2000
100 Josie Pl,"Springdale, AR 72764",Apartment,1250,3,2,990
2956 N Pulaski Rd Unit 2,"Chicago, IL 60641",House,2150,2,1,1000
3249-55 N Karlov Ave 4057-59 W School St,"Chicago, IL 60641",Apartment,1600,2,1,1000
2785 Mayfair Dr,"Cumming, GA 30040",House,2350,3,2.5,1988
3250 N Pulaski Rd,"Chicago, IL 60641",Apartment,1050,Studio+,1,3000
4030 N Milwaukee Ave,"Chicago, IL 60641",Apartment,1200,1,1,625
7310 Marvin D Love Fwy,"Dallas, TX 75237",Apartment,1408,3,2,1130
4497 Wal Valley Way Unit A,"Bowling Green, KY 42101",Townhome,1550,3,2.5,1350
6068 Louisville Rd Apt 6,"Bowling Green, KY 42101",Apartment,825,1,1,765
1960 Elaine St,"Jackson, MS 39204",House,925,3,2,1200
5002 Worth Way,"Bowling Green, KY 42101",Apartment,750,1,1,633
2000 SE 28th Ave,"Amarillo, TX 79103",Apartment,955,2,2,917
6550 Louisville Rd Unit C20,"Bowling Green, KY 42101",Apartment,685,1,1,560
6545 Fortuna Ct,"Bowling Green, KY 42101",Other,1595,3,2,1319
4844-4850 W Henderson,"Chicago, IL 60641",Apartment,1200,1,1,
4912 W Berteau Ave Unit 2,"Chicago, IL 60641",Condo,1850,3,1,1200
134 Westwood Cir,"Bowling Green, KY 42101",Apartment,950,2,2,1100
522 E Broadway Ave,"Enid, OK 73701",House,675,2,2,
1242 Langley Ave,"Jackson, MS 39204",House,Contact For Price,,,
4223 I20 Frontage Rd,"Vicksburg, MS 39183",Apartment,1345,3,2,1448
1606 Brookmere Way,"Cumming, GA 30040",Apartment,1975,3,2.5,1550
100 Abby Ln,"Broken Bow, OK 74728",Apartment,586,2,1,870
8501 Old Hickory Trl,"Dallas, TX 75237",Apartment,1287,2,2,960
4128 N Kedvale Ave Apt 104,"Chicago, IL 60641",Condo,1395,1,1,
,,Apartment,550,1,1,
2019 6th Ave,"Council Bluffs, IA 51501",Townhome,1945,4,2,2500
6002 Russellville Rd # 421,"Bowling Green, KY 42101",Apartment,1025,2,2,977
4819 4819,"Chicago, IL 60641",Apartment,2100,3,1,1000
20 S 41st St,"Council Bluffs, IA 51501",Apartment,1730,2,2,1277
4506 Chapel Ridge Ln,"Council Bluffs, IA 51501",Apartment,775,1,1,673
100 Kelly Rd,"Forest Park, OH 45246",Apartment,1900,3,2,1398
3839 E Embry Dr,"Fayetteville, AR 72764",House,2200,3,2,1839
2244 Hickory St,"Bowling Green, KY 42101",Apartment,1050,2,2,957
1299 Electric Ave,"Springdale, AR 72764",Apartment,713,Studio,1,540
2740 Gatewater Ct,"Cumming, GA 30040",House,2315,3,2.5,1665
703 W Grove Ave,"Springdale, AR 72764",House,1500,3,1,1100
4201 S Williams St,"Amarillo, TX 79118",Apartment,1575,3,2,1507
2021 Clover Ct,"Bowling Green, KY 42101",Apartment,850,Studio - 2,2,
2501 Culkin Rd,"Vicksburg, MS 39183",Apartment,1099,3,2,1100
1123 Shalimar Dr,"Jackson, MS 39204",House,1180,3,2,1490
1142 Raymond Rd,"Jackson, MS 39204",Apartment,750,1,1,816
4031 W School St Unit B2,"Chicago, IL 60641",Apartment,1275,1,1,900
397 Lower Stone Ave Apt B,"Bowling Green, KY 42101",Apartment,725,1,1,700
1799 Russellville Rd,"Bowling Green, KY 42101",Apartment,2140,4,2,1393
1101 11 W Grace,"Chicago, IL 60641",Apartment,2095,2,1,
5141 W Roscoe St Apt 2,"Chicago, IL 60641",Apartment,1395,2,1,870
4235 N Lamon Ave Apt 3N,"Chicago, IL 60641",Apartment,1200,1,1,700
1010 and 1012 N Turtle Creek Dr,"Rogers, AR 72756",Apartment,1295,2,1,1040
4001 N Kildare Ave Apt 310,"Chicago, IL 60641",House,1100,1,1,550
,,Apartment,750,3,1,
3559 N Milwaukee Ave,"Chicago, IL 60641",Apartment,1925,2,2,
4025 N Kedvale Ave,"Chicago, IL 60641",Apartment,1025,Studio+,1,
5940 Bentley Way,"Cumming, GA 30040",House,2500,3,2.5,1806
3968 N Avondale Ave Unit 39682,"Chicago, IL 60641",Apartment,2975,3,2,
