TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft,City,State,Zip,lat,lng,county_fips,county_name
66106,"1432 S 51st St, Kansas City, KS 66106","Kansas City, KS 66106",Pending,275000.0,4.0,3.0,2511.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"1638 S 50th Ter, Kansas City, KS 66106","Kansas City, KS 66106",Contingent,100000.0,2.0,1.0,640.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"1418 S 50th Dr, Kansas City, KS 66106","Kansas City, KS 66106",Contingent,215000.0,3.0,2.0,1458.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"2621 S 49th St, Kansas City, KS 66106","Kansas City, KS 66106",Pending,189750.0,3.0,1.0,1019.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"2623 Woodend Ave, Kansas City, KS 66106","Kansas City, KS 66106",Pending,74900.0,4.0,1.0,1128.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"2818 S 46th St, Kansas City, KS 66106","Kansas City, KS 66106",Pending,260000.0,3.0,2.0,1588.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"4926 Natoma Dr, Kansas City, KS 66106","Kansas City, KS 66106",Pending,99950.0,2.0,1.0,690.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"6047 Oak Grove Rd, Kansas City, KS 66106","Kansas City, KS 66106",Contingent,185000.0,2.0,1.5,1176.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"4922 Natoma St, Kansas City, KS 66106","Kansas City, KS 66106",For Sale,209500.0,3.0,2.0,1100.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"2700 S 45th St, Kansas City, KS 66106","Kansas City, KS 66106",Pending,285000.0,4.0,3.5,3362.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"5022 Vista St, Kansas City, KS 66106","Kansas City, KS 66106",Pending,105000.0,2.0,1.0,690.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"1658 S 29th St, Kansas City, KS 66106","Kansas City, KS 66106",For Sale,230000.0,3.0,2.0,1270.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"2118 S 47th St, Kansas City, KS 66106","Kansas City, KS 66106",Pending,199950.0,3.0,1.0,1008.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"1215 S 36th St, Kansas City, KS 66106","Kansas City, KS 66106",Contingent,100000.0,2.0,1.0,910.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"1031 S 53rd St, Kansas City, KS 66106","Kansas City, KS 66106",Pending,220000.0,3.0,1.5,1421.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"2606 Espenlaub Ln, Kansas City, KS 66106","Kansas City, KS 66106",Pending,250000.0,3.0,3.0,1690.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"5106 Forest Ave, Kansas City, KS 66106","Kansas City, KS 66106",For Sale,189000.0,4.0,2.0,1420.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"2610 S 40th Ter, Kansas City, KS 66106","Kansas City, KS 66106",Pending,150000.0,2.0,1.0,1030.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"4605 Metropolitan Ave, Kansas City, KS 66106","Kansas City, KS 66106",Pending,199000.0,3.0,1.5,897.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"4717 Woodend Ave, Kansas City, KS 66106","Kansas City, KS 66106",Pending,149950.0,3.0,1.0,994.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"5006 Woodend Ave, Kansas City, KS 66106","Kansas City, KS 66106",Pending,160000.0,2.0,1.0,713.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"4516 Argentine St, Kansas City, KS 66106","Kansas City, KS 66106",Pending,190000.0,3.0,1.5,1728.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"2541 Highland Ave, Kansas City, KS 66106","Kansas City, KS 66106",Pending,198500.0,3.0,1.0,1012.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"1528 S 40th St, Kansas City, KS 66106","Kansas City, KS 66106",Pending,137000.0,3.0,1.0,1470.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"4729 Hagemann Ave, Kansas City, KS 66106","Kansas City, KS 66106",Pending,149000.0,2.0,1.0,820.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"1903 Woodland Blvd, Kansas City, KS 66106","Kansas City, KS 66106",Pending,70000.0,2.0,1.0,1780.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"2930 S 51st Ter, Kansas City, KS 66106","Kansas City, KS 66106",Pending,120000.0,2.0,1.0,690.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"2913 S 51st Ter, Kansas City, KS 66106","Kansas City, KS 66106",Pending,140000.0,2.0,1.0,700.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"5423 Lakewood St, Kansas City, KS 66106","Kansas City, KS 66106",Pending,400000.0,4.0,2.5,2050.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"3717 Melody Ln, Kansas City, KS 66106","Kansas City, KS 66106",Pending,200000.0,3.0,1.0,1331.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
68850,"120 Sunset Dr, Lexington, NE 68850","Lexington, NE 68850",For Sale,245000.0,3.0,3.0,1710.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"211 E 13th St, Lexington, NE 68850","Lexington, NE 68850",For Sale,200000.0,4.0,2.0,2613.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"805 Truman Dr, Lexington, NE 68850","Lexington, NE 68850",For Sale,290000.0,5.0,3.0,2570.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"812 N Tyler St, Lexington, NE 68850","Lexington, NE 68850",For Sale,165000.0,3.0,1.0,1250.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"1610 N Lincoln St, Lexington, NE 68850","Lexington, NE 68850",For Sale,229000.0,3.0,2.0,2661.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"506 9th St, Edgar, NE 68850","Edgar, NE 68850",For Sale,115000.0,4.0,2.0,2466.0,Edgar,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"75823 Road 436, Lexington, NE 68850","Lexington, NE 68850",For Sale,320000.0,3.0,2.0,4584.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"801 E 11th St, Lexington, NE 68850","Lexington, NE 68850",For Sale,255000.0,4.0,2.0,1976.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"606 S Adams St, Lexington, NE 68850","Lexington, NE 68850",For Sale,264500.0,4.0,2.0,2304.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"1304 H St, Cozad, NE 68850","Cozad, NE 68850",Pending,145000.0,3.0,2.0,1702.0,Cozad,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"2105 Patriot Dr, Lexington, NE 68850","Lexington, NE 68850",For Sale,790000.0,3.0,4.0,4031.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"1507 Liberty Dr, Lexington, NE 68850","Lexington, NE 68850",For Sale,320000.0,4.0,3.0,2460.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"1215 N Grant St, Lexington, NE 68850","Lexington, NE 68850",For Sale,200000.0,3.0,2.0,2576.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"201 E 16th St, Lexington, NE 68850","Lexington, NE 68850",Pending,207000.0,3.0,3.0,1390.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"1302 N Erie St, Lexington, NE 68850","Lexington, NE 68850",For Sale,195000.0,3.0,1.0,1175.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"107 W 10th St, Lexington, NE 68850","Lexington, NE 68850",Pending,147500.0,2.0,1.0,974.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"908 Reagan Dr, Lexington, NE 68850","Lexington, NE 68850",Pending,225000.0,3.0,2.0,1455.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"76700 Road 431, Lexington, NE 68850","Lexington, NE 68850",For Sale,399900.0,2.0,3.0,1800.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"1900 Independence Ave, Lexington, NE 68850","Lexington, NE 68850",For Sale,295500.0,3.0,2.0,1687.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"104 Cherokee Rd, Lexington, NE 68850","Lexington, NE 68850",Pending,305000.0,4.0,2.0,2216.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"1807 Independence Ave, Lexington, NE 68850","Lexington, NE 68850",For Sale,294000.0,3.0,2.0,1418.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"1904 Independence Ave, Lexington, NE 68850","Lexington, NE 68850",For Sale,297500.0,3.0,2.0,1681.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"118 Sunset Dr, Lexington, NE 68850","Lexington, NE 68850",Pending,297500.0,4.0,4.0,2628.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"1902 Independence Ave, Lexington, NE 68850","Lexington, NE 68850",For Sale,292500.0,3.0,2.0,1608.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
