TysonZip,Address1,Address2,Style,Price,Beds,Baths,Sqft,City,State,Zip
60641,4300 W Montrose Ave Unit 200,"Chicago, IL 60641",Condo,5000,5,2,3000.0,Chicago,IL,60641
60641,4207 W Roscoe St Unit 2,"Chicago, IL 60641",Apartment,2850,2,2,,Chicago,IL,60641
60641,4131 W Belmont Ave Unit 413,"Chicago, IL 60641",Apartment,2350,2,2,,Chicago,IL,60641
60641,5422 W Dakin St,"Chicago, IL 60641",Apartment,1250,2,1,,Chicago,IL,60641
60641,4222 N Keystone Ave Apt 1B,"Chicago, IL 60641",Apartment,1650,2,1,,Chicago,IL,60641
60641,3750 N Lowell Ave,"Chicago, IL 60641",House,6300,5,3.5,3000.0,Chicago,IL,60641
60641,5518 W Barry Ave,"Chicago, IL 60641",Apartment,1095,1,1,,Chicago,IL,60641
60641,3250 N Pulaski Rd Apt 201,"Chicago, IL 60641",Apartment,1050,Studio,1,400.0,Chicago,IL,60641
60641,3250 N Pulaski Rd Apt 203,"Chicago, IL 60641",Apartment,1100,Studio,1,350.0,Chicago,IL,60641
60641,3711 N Kenneth Ave Unit 119,"Chicago, IL 60641",Condo,1500,2,1,950.0,Chicago,IL,60641
60641,4200 W Belmont Ave Unit 4214-2,"Chicago, IL 60641",Apartment,4200,3,3.5,,Chicago,IL,60641
60641,5141 W Roscoe St Apt 2,"Chicago, IL 60641",Apartment,1395,2,1,870.0,Chicago,IL,60641
60641,5141 W Roscoe St Apt 3,"Chicago, IL 60641",Apartment,1395,2,1,850.0,Chicago,IL,60641
60641,5359 W Berenice Ave Apt 2,"Chicago, IL 60641",Apartment,1500,2,1,1000.0,Chicago,IL,60641
60641,3921 N Linder Ave Apt 1,"Chicago, IL 60641",Apartment,1495,2,1,1100.0,Chicago,IL,60641
60641,2837 N Long Ave Fl 2,"Chicago, IL 60641",Condo,1650,2,1,900.0,Chicago,IL,60641
60641,4235 N Lamon Ave Apt 3N,"Chicago, IL 60641",Apartment,1200,1,1,700.0,Chicago,IL,60641
60641,4030 N Milwaukee Ave,"Chicago, IL 60641",Apartment,1200,1,1,625.0,Chicago,IL,60641
60641,4350 N Cicero Ave,"Chicago, IL 60641",Apartment,1105,1,1,560.0,Chicago,IL,60641
60641,5225 W Melrose St Unit 1,"Chicago, IL 60641",Apartment,1995,2,1,1500.0,Chicago,IL,60641
60641,3450 N Lowell Ave Apt 2,"Chicago, IL 60641",Apartment,2100,3,1,1000.0,Chicago,IL,60641
60641,5160 W Montrose Ave,"Chicago, IL 60641",Apartment,1275,1,1,750.0,Chicago,IL,60641
60641,1 W Montrose Ave,"Chicago, IL 60641",House,1200,1,1,,Chicago,IL,60641
60641,5111 W Montrose Ave,"Chicago, IL 60641",Apartment,1250,1,1,650.0,Chicago,IL,60641
60641,4819-21 W Cornelia Ave Unit 4821-1,"Chicago, IL 60641",Apartment,2100,3,1,1000.0,Chicago,IL,60641
60641,3058 N Kostner Ave Apt 1E,"Chicago, IL 60641",Apartment,1850,3,1,,Chicago,IL,60641
60641,3053 N Kilpatrick Ave,"Chicago, IL 60641",Apartment,1650,2,1,1200.0,Chicago,IL,60641
60641,4153 W Melrose Ave Unit 1E,"Chicago, IL 60641",Condo,3000,2,2,1380.0,Chicago,IL,60641
60641,5160 W Montrose Ave,"Chicago, IL 60641",Apartment,1275,1,1,750.0,Chicago,IL,60641
60641,3054 N Kolmar Ave,"Chicago, IL 60641",Apartment,1200,1,1,825.0,Chicago,IL,60641
60641,4200 W Belmont Ave Unit 4210-3,"Chicago, IL 60641",Apartment,4725,4,3.5,,Chicago,IL,60641
60641,4031 W Melrose St Apt 3N,"Chicago, IL 60641",Apartment,1175,1,1,,Chicago,IL,60641
60641,5107 W Montrose Ave Unit 2W,"Chicago, IL 60641",Apartment,1700,3,1,1150.0,Chicago,IL,60641
60641,4300 W Montrose Ave Unit 2,"Chicago, IL 60641",Apartment,5000,5,2,2600.0,Chicago,IL,60641
60641,3035 N Kilpatrick Ave Unit 2,"Chicago, IL 60641",House,1950,2,1,,Chicago,IL,60641
60641,5327 W Wolfram St Unit 1,"Chicago, IL 60641",House,1850,3,1,1000.0,Chicago,IL,60641
60641,4179 W Belmont Ave Unit 4177-002,"Chicago, IL 60641",Apartment,2700,2,2,1395.0,Chicago,IL,60641
60641,4179 W Belmont Ave Unit 3153-205,"Chicago, IL 60641",Apartment,2700,2,2,1155.0,Chicago,IL,60641
60641,4179 W Belmont Ave Unit 4181-302,"Chicago, IL 60641",Apartment,3100,2,2,1362.0,Chicago,IL,60641
60641,5301 W Newport Ave Unit 1R,"Chicago, IL 60641",Apartment,1450,2,1,750.0,Chicago,IL,60641
60641,3035 N Kilpatrick Ave Unit G,"Chicago, IL 60641",House,1550,2,1,,Chicago,IL,60641
60641,2837 N Long Ave Unit Bsmt,"Chicago, IL 60641",Apartment,1200,1,1,500.0,Chicago,IL,60641
60641,2856 N Kostner Ave Unit 2,"Chicago, IL 60641",Apartment,1500,2,1,800.0,Chicago,IL,60641
60641,4250 N Keystone Ave Apt 2S,"Chicago, IL 60641",Apartment,1950,2,1,1000.0,Chicago,IL,60641
60641,2849 N Linder Ave Unit 2,"Chicago, IL 60641",Apartment,1450,2,1,900.0,Chicago,IL,60641
60641,5522 W Berteau Ave Apt 2,"Chicago, IL 60641",Apartment,1900,2,1,950.0,Chicago,IL,60641
60641,5240 W Cullom Ave Unit 1,"Chicago, IL 60641",Apartment,1795,2,1,1050.0,Chicago,IL,60641
60641,3453 N Lowell Ave Unit 1,"Chicago, IL 60641",Apartment,2500,3,1,1050.0,Chicago,IL,60641
60641,4821 W Cornelia Ave,"Chicago, IL 60641",Apartment,2100,3,1,1100.0,Chicago,IL,60641
60641,4179 W Belmont Ave Unit 4181-201,"Chicago, IL 60641",Apartment,3600,3,2,1720.0,Chicago,IL,60641
60641,4179 W Belmont Ave Unit 4177-204,"Chicago, IL 60641",Apartment,3400,3,2,1446.0,Chicago,IL,60641
60641,4179 W Belmont Ave Unit 4177-303,"Chicago, IL 60641",Apartment,3500,3,2,1425.0,Chicago,IL,60641
60641,4179 W Belmont Ave Unit 4181-301,"Chicago, IL 60641",Apartment,3900,3,2,1720.0,Chicago,IL,60641
60641,3813 N Cicero Ave Unit 2,"Chicago, IL 60641",Apartment,2000,3,1,1000.0,Chicago,IL,60641
60641,5240 W Cullom Ave Unit 2,"Chicago, IL 60641",Apartment,2395,2,1,1050.0,Chicago,IL,60641
60641,4821 W Cornelia Ave Apt 1,"Chicago, IL 60641",Apartment,2050,3,1,1000.0,Chicago,IL,60641
60641,5225 W Melrose St Unit 2,"Chicago, IL 60641",Apartment,2200,3,1,1500.0,Chicago,IL,60641
60641,3035 N Kilpatrick Ave Unit 1,"Chicago, IL 60641",House,2250,3,2,,Chicago,IL,60641
60641,3019 N Keating Ave Unit 2,"Chicago, IL 60641",House,1300,2,1,1200.0,Chicago,IL,60641
60641,1101 11 W Grace,"Chicago, IL 60641",Apartment,1795,1,1,688.0,Chicago,IL,60641
60641,1101 11 W Grace,"Chicago, IL 60641",Apartment,2095,2,1,696.0,Chicago,IL,60641
60641,4201 N Keystone Ave Apt 1,"Chicago, IL 60641",House,1350,1,1,800.0,Chicago,IL,60641
60641,4179 W Belmont Ave Unit 4177-304,"Chicago, IL 60641",Apartment,3700,3,2,1446.0,Chicago,IL,60641
60641,3320 N Leclaire Ave,"Chicago, IL 60641",Apartment,1995,3,1,950.0,Chicago,IL,60641
